# k     pk_smooth     pk_ratio
0.00319465 10391 0.0130343
0.00321198 10435.1 0.0131315
0.00322942 10479.3 0.0132292
0.00324694 10523.6 0.0133275
0.00326456 10568 0.0134265
0.00328228 10612.6 0.0135261
0.0033001 10657.3 0.0136264
0.00331801 10702.1 0.0137273
0.00333601 10747 0.0138289
0.00335412 10792 0.0139311
0.00337232 10837.2 0.014034
0.00339063 10882.5 0.0141376
0.00340903 10927.8 0.0142419
0.00342753 10973.3 0.0143468
0.00344613 11018.9 0.0144524
0.00346483 11064.7 0.0145588
0.00348364 11110.5 0.0146658
0.00350255 11156.4 0.0147736
0.00352156 11202.5 0.014882
0.00354067 11248.6 0.0149912
0.00355988 11294.9 0.0151011
0.0035792 11341.3 0.0152118
0.00359863 11387.8 0.0153232
0.00361816 11434.4 0.0154353
0.0036378 11481.1 0.0155482
0.00365754 11527.9 0.0156619
0.00367739 11574.8 0.0157763
0.00369735 11621.8 0.0158915
0.00371742 11669 0.0160075
0.00373759 11716.2 0.0161243
0.00375788 11763.5 0.0162418
0.00377827 11810.9 0.0163602
0.00379878 11858.5 0.0164795
0.00381939 11906.1 0.0165995
0.00384012 11953.8 0.0167204
0.00386096 12001.6 0.0168421
0.00388192 12049.6 0.0169647
0.00390299 12097.6 0.0170882
0.00392417 12145.7 0.0172126
0.00394547 12193.9 0.0173378
0.00396688 12242.2 0.0174639
0.00398841 12290.6 0.017591
0.00401006 12339.1 0.017719
0.00403182 12387.7 0.0178479
0.0040537 12436.3 0.0179777
0.0040757 12485.1 0.0181085
0.00409782 12533.9 0.0182403
0.00412006 12582.9 0.018373
0.00414242 12631.9 0.0185068
0.0041649 12681 0.0186415
0.00418751 12730.2 0.0187773
0.00421023 12779.4 0.0189141
0.00423308 12828.8 0.0190519
0.00425606 12878.2 0.0191907
0.00427916 12927.7 0.0193307
0.00430238 12977.3 0.0194716
0.00432573 13026.9 0.0196136
0.00434921 13076.7 0.0197567
0.00437281 13126.5 0.0199009
0.00439655 13176.4 0.0200461
0.00442041 13226.3 0.0201924
0.0044444 13276.3 0.0203399
0.00446852 13326.4 0.0204884
0.00449277 13376.6 0.0206381
0.00451715 13426.8 0.0207888
0.00454167 13477.1 0.0209407
0.00456632 13527.5 0.0210938
0.0045911 13577.9 0.021248
0.00461602 13628.4 0.0214033
0.00464107 13678.9 0.0215598
0.00466626 13729.5 0.0217175
0.00469158 13780.2 0.0218764
0.00471705 13830.9 0.0220365
0.00474265 13881.6 0.0221978
0.00476839 13932.5 0.0223603
0.00479427 13983.3 0.022524
0.00482029 14034.2 0.022689
0.00484645 14085.2 0.0228552
0.00487275 14136.2 0.0230227
0.0048992 14187.3 0.0231914
0.00492578 14238.4 0.0233614
0.00495252 14289.5 0.0235328
0.0049794 14340.7 0.0237054
0.00500642 14391.9 0.0238793
0.00503359 14443.2 0.0240546
0.00506091 14494.5 0.0242312
0.00508838 14545.8 0.0244092
0.00511599 14597.2 0.0245885
0.00514376 14648.6 0.0247692
0.00517168 14700 0.0249513
0.00519974 14751.4 0.0251348
0.00522797 14802.9 0.0253198
0.00525634 14854.4 0.0255061
0.00528487 14905.9 0.0256939
0.00531355 14957.4 0.0258831
0.00534239 15009 0.0260738
0.00537138 15060.6 0.0262659
0.00540053 15112.1 0.0264594
